"id","doi","title","abstract","publication_year","cross","all","thematic_pioneer","thematic_rare_5pct","methodological_pioneer","methodological_rare_5pct","cross_pioneer","cross_rare_5pct","exposure_inst_cross","exposure_inst_thematic","exposure_coauth_cross","exposure_coauth_thematic","exposure_intell_cross","exposure_intell_thematic","theoretical","methodological"
"https://openalex.org/W3098091072","https://doi.org/10.1088/1751-8113/43/2/025005","Theory of agent-based market models with controlled levels of greed and anxiety","We use generating functional analysis to study minority-game-type market models with generalized strategy valuation updates that control the psychology of agents' actions. The agents' choice between trend-following and contrarian trading, and their vigor in each, depends on the overall state of the market. Even in 'fake history' models, the theory now involves an effective overall bid process (coupled to the effective agent process) which can exhibit profound remanence effects and new phase transitions. For some models the bid process can be solved directly, others require Maxwell-construction-type approximations.","2009","[('C02', 'E17'), ('C02', 'D83'), ('C02', 'G12'), ('C15', 'E17'), ('C15', 'D83'), ('C15', 'G12'), ('C51', 'E17'), ('C51', 'D83'), ('C51', 'G12'), ('C63', 'E17'), ('C63', 'D83'), ('C63', 'G12')]","['C63', 'C15', 'C02', 'E17', 'D83', 'C51', 'G12']","True","True","True","True","True","True","0.0","0.0","0.0","0.0","0.0","0.0","['E17', 'D83', 'G12']","['C02', 'C15', 'C51', 'C63']"
"https://openalex.org/W2887050320","https://doi.org/10.1016/j.jval.2018.07.001","Selecting Bolt-On Dimensions for the EQ-5D: Examining Their Contribution to Health-Related Quality of Life","BackgroundGeneric preference-based measures may miss dimensions important for the health-related quality of life (HRQOL) of patients. When this happens, a possible solution is to add bolt-ons. Finch et al. (Finch AP, Brazier JE, Mukuria C, Bjorner JB. An exploratory study on using principal component analysis and confirmatory factor analysis to identify bolt-on dimensions: the EQ-5D case study. Value Health 2017;10:1362–75) have recently shown that bolt-ons can be systematically identified using factor analysis. Nevertheless, because for each bolt-on option a complete re-evaluation may be required, methods to select between them are needed.ObjectivesTo investigate the possibility of selecting bolt-ons using their ability to predict differences in HRQOL. It tests six factors (energy/vitality, satisfaction, relationships, hearing, vision, and speech), and 37 items loading on them, using the EuroQol five-dimensional questionnaire as a case study.MethodsData were obtained from the Multi-Instrument Comparison study, an online survey on health and well-being measures carried out in six countries. Two tests were performed. In the first test, linear regressions were fitted to determine whether different bolt-ons helped explain variations in HRQOL as measured by the Health visual analogue scale. The upper anchor (100) of this scale represents excellent physical, mental, and social health, and the lower anchor (0) represents death. Bolt-on relevance was judged comparing the strength, direction, and statistical significance of unadjusted β coefficients. In the second test, linear regressions were fitted to further investigate whether different factors and items helped explain the negative effect of six chronic conditions on HRQOL. A reduction in the coefficients for the chronic condition dummies meant that the factor or item detected the effect.ResultsEnergy/vitality, relationships, and satisfaction reported substantially larger coefficients than did speech, vision, and hearing. Also, items loading on energy/vitality, relationships, and satisfaction generally presented larger coefficients than did those loading on speech, vision, and hearing. The second test did not detect consistent decrements in the coefficients for chronic conditions when testing factors, but it generally did detect consistent decrements when testing items.ConclusionsThe first test appeared useful for bolt-on selection. Further research is needed before using the second test.","2018","[('C93', 'I14'), ('C93', 'I12'), ('C93', 'I18'), ('C19', 'I14'), ('C19', 'I12'), ('C19', 'I18'), ('C13', 'I14'), ('C13', 'I12'), ('C13', 'I18'), ('C38', 'I14'), ('C38', 'I12'), ('C38', 'I18')]","['C93', 'I14', 'I12', 'I18', 'C19', 'C38', 'C13']","False","False","False","False","False","False","0.0","0.0119047619047619","0.0","0.0","0.0","0.0","['I14', 'I12', 'I18']","['C93', 'C19', 'C13', 'C38']"
"https://openalex.org/W2737776937","https://doi.org/10.1017/s1365100517000372","TREND INFLATION AND MONETARY POLICY IN EASTERN EUROPE","I use a two-country dynamic stochastic general equilibrium (DSGE) model with a nonzero steady-state inflation to study monetary policy in transition economies. In particular, my analysis focuses on whether inflation targeting is based on a consumer price index (CPI) or its producer counterpart, producer price index (PPI). This issue is specifically relevant for transition economies as they might be subject to Balassa–Samuelson effects arising from trading in international markets. Under these circumstances, domestic inflation is possibly higher than imported inflation, hence targeting PPI inflation may prove more effective in influencing domestic macroeconomic variables than targeting CPI inflation. Using a Bayesian methodology, I find that the central banks of three Eastern European countries (namely, the Czech Republic, Hungary, and Poland) are likely to target PPI inflation rather than CPI inflation. This result is in line with the theoretical predictions in the literature, and is robust across several Taylor-type rules.","2017","[('C11', 'F41'), ('C11', 'O52'), ('C11', 'E31'), ('C11', 'E52'), ('C11', 'E61'), ('C51', 'F41'), ('C51', 'O52'), ('C51', 'E31'), ('C51', 'E52'), ('C51', 'E61')]","['C11', 'F41', 'O52', 'E31', 'E52', 'E61', 'C51']","False","False","False","False","False","False","0.0","0.0","0.0","0.0","0.0","0.0","['F41', 'O52', 'E31', 'E52', 'E61']","['C11', 'C51']"
"https://openalex.org/W4243438194","https://doi.org/10.4081/ecj.2012.1.22","Good clinical practice and scientific research in the EU - Rome, 2-4 November 2011","ObjectiveTroponin is the biological marker of choice for diagnosis of acute coronary syndrome, since it is produced and released only by myocardial cells and elevated circulating levels are found in any pathological situation in which there is a heart damage.Moreover troponin is known to be a marker of higher mortality, but the effect of the recent introduction of a new ultrasensitive troponin assays has yet to be clarified.Aim of the study: to assess the role of our ultrasensitive troponin assay in predicting short-term mortality in a ED setting. MethodsFrom October 2009 to January 2010 we retrospectively analyzed patients admitted to ER and requiring troponin assays (troponin I AIA 360, TOSOH) according to hospital protocols and physician sight and we assessed the mortality at 90 days. Results1658 patients met the inclusion requirements, 227 (13,7%) of whom had a troponin above the cut off set by our internal procedure (0.06 ng/ml) at the sample collected just after the ER admission visit and were immediately handled according to initial diagnosis whereas 40 (2,4%) showed an above cut off troponin in a subsequent sample.The mortality at 90 days in the first group was 13,7% vs 7,5% in the last group (p<0,01).The 90-day mortality was higher in female (16,9%) and in patients suffering from disease other than acute coronary syndrome (23,5%), irrespectively of age and troponin levels above the cut off. ConclusionsHigh sensitivity troponin assay above the cut off seems to be a good predictor of short-term mortality independently from levels and especially in female and for diagnosis other than acute coronary syndromes.","2012","[('C93', 'H51'), ('C93', 'I12'), ('C93', 'I19'), ('C93', 'I18'), ('C14', 'H51'), ('C14', 'I12'), ('C14', 'I19'), ('C14', 'I18'), ('C21', 'H51'), ('C21', 'I12'), ('C21', 'I19'), ('C21', 'I18')]","['C14', 'C93', 'I19', 'I12', 'I18', 'H51', 'C21']","False","False","False","False","False","False","","","0.0","0.0","","","['H51', 'I12', 'I19', 'I18']","['C93', 'C14', 'C21']"
"https://openalex.org/W2556883271","https://doi.org/10.1109/isgteurope.2012.6465811","Life cycle management method for smart grid asset with real option theory","This paper addresses the life cycle management (LCM) problem for asset of smart grids. The costs of different stages during asset life cycle are integrated into a coherent framework. The real option theory is employed to quantify different strategies of LCM. The stochastic risks during the whole process of asset utilization are considered. The whole process of the asset investment, utilization and disposals are covered by the proposed real option based method. The analytical solutions of decision timing is derived and analyzed. The proposed model and method are used in the smart grid construction of Zhejiang Province Power Grid of China. Data from realistic power grids demonstrate and validate the proposed method.","2012","[('C53', 'Q40'), ('C53', 'L94'), ('C53', 'O33'), ('C53', 'D24'), ('C61', 'Q40'), ('C61', 'L94'), ('C61', 'O33'), ('C61', 'D24'), ('C02', 'Q40'), ('C02', 'L94'), ('C02', 'O33'), ('C02', 'D24')]","['Q40', 'C61', 'O33', 'C53', 'C02', 'D24', 'L94']","False","False","False","False","False","False","0.0092664092664092","0.0952380952380952","0.0","0.0","","","['Q40', 'L94', 'O33', 'D24']","['C53', 'C61', 'C02']"
"https://openalex.org/W2127058949","https://doi.org/10.1086/662221","Investment Shocks and Asset Prices","I explore the implications for asset prices and macroeconomic dynamics of shocks that improve real investment opportunities and thus affect the representative household's marginal utility. These investment shocks generate differences in risk premia due to their heterogeneous impact on firms: they benefit firms producing investment relative to firms producing consumption goods and increase the value of growth opportunities relative to the value of existing assets. Using data on asset returns, I find that a positive investment shock leads to high marginal utility states. A general equilibrium model with investment shocks matches key features of macroeconomic quantities and asset prices.","2011","[('C15', 'E32'), ('C15', 'G14'), ('C15', 'D92'), ('C15', 'E22'), ('C15', 'G12'), ('C51', 'E32'), ('C51', 'G14'), ('C51', 'D92'), ('C51', 'E22'), ('C51', 'G12')]","['E32', 'C15', 'G14', 'D92', 'E22', 'C51', 'G12']","False","False","False","False","False","False","","","0.0","0.0","0.2","0.3333333333333333","['E32', 'G14', 'E22', 'G12']","['C15', 'C51']"
"https://openalex.org/W4242854337","https://doi.org/10.21608/ejcm.2018.23000","Relation between Health Care Providers´ Compliance with Central Venous Catheter Care Bundle Elements and The Length of Stay in Cardiac Care Units, National Heart Institute.","Background: Catheter related blood stream infection (CRBSI) is the main complication of central venous catheter (CVC) use which increases the duration of hospital stay and increases the costs of applied health services.Objective: (1) Estimating incidence rate of CRBSI in the National Heart Institute over six months.(2) To identify the relation between the compliance of health care providers to care bundle elements of CVC recommended by CDC and hospital LOS.Methods: A Prospective cohort study was conducted on one hundred and eleven cardiac patients in cardiac care units, (NHI) from August 2017 to January 2018.All patients subjected to central venous catheter (CVC) in cardiac care units, NHI, were included except: Patients with obvious source of infection, patients having infective endocarditis and patients whose catheter was put outside the NHI.Results: Noncompliance of health care providers to care bundle elements of CVC of Centers for Disease Control and Prevention (CDC) and CRBSI occurrence are statistically significant factors which increase hospital length of stay (LOS).Conclusion: This study revealed that noncompliance to care bundle elements through insertion and handling of CVC leads to increase length of hospital stay.Recommendation: Health care providers should adhere to care bundle elements recommended by CDC during insertion and handling of CVC.","2018","[('C20', 'I10'), ('C20', 'I12'), ('C20', 'D62'), ('C20', 'I18'), ('C20', 'H51'), ('C10', 'I10'), ('C10', 'I12'), ('C10', 'D62'), ('C10', 'I18'), ('C10', 'H51')]","['I10', 'I12', 'I18', 'C20', 'H51', 'D62', 'C10']","False","False","False","False","False","False","0.0","0.0","0.0","0.0","","","['I10', 'I12', 'D62', 'I18', 'H51']","['C20', 'C10']"
"https://openalex.org/W2784307474","https://doi.org/10.7251/emc1702184j","THE IMPACT OF THE NON-PERFORMING LOANS TO BANKS’PERFORMANCE: THE CASE OF THE REPUBLIC OF MACEDONIA","The paper investigates the relationship between non-performing loans and the basic indicators for banks’performance. The analysis was conducted among the banking sector in the Republic of Macedonia for the period 2007-2015. The share of non-performing loans in total loans is one of the basic indicators for the quality of the credit portfolio in banks. The analysis of the movement and the level of non-performing loans is of great importance for identifying possible problems in bank risk management as a whole. With the application of correlation and regression method, we confirmed the findings of the consequences of non-performing loans on the performance of banks. The results indicate that a large share of non-performing loans to total loans leads to deterioration in the financial and liquidity position. There is a weak negative correlation between the rate of capital adequacy and non-performing loans ratio and that requires further research.","2017","[('C31', 'E51'), ('C31', 'G21'), ('C31', 'G32'), ('C31', 'M41'), ('C31', 'G01'), ('C01', 'E51'), ('C01', 'G21'), ('C01', 'G32'), ('C01', 'M41'), ('C01', 'G01')]","['E51', 'G21', 'C31', 'G32', 'M41', 'G01', 'C01']","False","False","False","False","False","False","0.0","0.0","0.0","0.0","0.0","0.0","['E51', 'G21', 'G32', 'M41', 'G01']","['C31', 'C01']"
"https://openalex.org/W2063932938","https://doi.org/10.1142/s0219091509001770","The Valuation of Information Technology Investments by Real Options Analysis","This study establishes a dynamic model under real options analysis to analyze the optimal timing decision of information technology (IT) investments when the output price for firms is stochastic and benefits of IT investments are arisen from the increasing output price, increasing sale, and cost savings. We derive the closed form expression of the timing of IT investments and furthermore prove that IT investments rise at an increasing rate in economic booms and fall in economic busts. This study finds that increasing (decreasing) price volatility will delay (advance) the timing of IT investments. Increasing IT investments, however, may not delay the timing of IT investments. In addition, the decreasing (increasing) efficiency and increasing (decreasing) depreciation of IT investments will delay (advance) the timing of IT investments.","2009","[('C61', 'M11'), ('C61', 'O33'), ('C61', 'D92'), ('C61', 'E22'), ('C61', 'G31'), ('C15', 'M11'), ('C15', 'O33'), ('C15', 'D92'), ('C15', 'E22'), ('C15', 'G31')]","['C61', 'M11', 'C15', 'O33', 'D92', 'E22', 'G31']","True","True","True","True","True","True","0.0","0.0","0.0","0.0","","","['M11', 'O33', 'E22', 'G31']","['C61', 'C15']"
"https://openalex.org/W2167523596","https://doi.org/10.5897/ajar.9000130","Contribution of savings and credit cooperatives to food crop production in Swaziland: A case study of smallholder farmers","Using primary data collected in Ludzeludze and Bhekinkhosi/Mliba RDAs from 80 smallholder farmers in the 2008 cropping season, the study used a Cobb-Douglas production function model to analyze the contribution of savings and credit cooperatives to food production in Swaziland. The results from the analysis indicated that on average, members of savings and credit cooperative societies used capital worth E 6185.00, compared to E 4520.00 that was used by non-members on crop production. Households who are members of savings and credit cooperative societies had an average maize yield of about 2.6 times that of households who are non-members. Similarly, average yields of potatoes for members is about 2.7 times those recorded by non-member households and average yields of beans of about 2.2 times than those obtained by non-members. The analysis reveals that households who are members of savings and credit cooperative societies produced more output per hectare of maize, sweet potatoes and beans than those households who are non-members. The high yields for members of savings and credit cooperative societies could be attributed to their ability to spend more on improved seeds, pesticides, fertilizers and other farm inputs. All the independent variables in the production model were found to explain 75.3% of the variation in the total amount of food crop produced by the farmers. The regression coefficient of capital used in food crop production indicates that all things being equal a 1% increase in capital used the value of food crops produced would increase by 0.34%, while a 1% in increase in labour and in land would result in 0.088% decrease and 1.027% increase in output respectively. The study has shown that savings and credit cooperatives play an important role in improving agricultural production. Hence there is a need to encourage farmers to join and save with cooperatives in order to have access to microfinance and improve their production through the use of improved seeds, technology and fertilizers.

	 

	Key words: Smallholder farmers, savings and credit cooperatives, contribution, food crop production.","2010","[('C01', 'Q12'), ('C01', 'O16'), ('C01', 'G21'), ('C01', 'Q13'), ('C01', 'D24'), ('C51', 'Q12'), ('C51', 'O16'), ('C51', 'G21'), ('C51', 'Q13'), ('C51', 'D24')]","['Q12', 'O16', 'G21', 'Q13', 'D24', 'C01', 'C51']","False","False","False","False","False","False","","","0.0","0.0","","","['Q12', 'O16', 'G21', 'Q13', 'D24']","['C01', 'C51']"
